connector_version,consumed_property_count,conversion_success,diagnostics,duration_ms,error,mapping_counts,non_exact_mapping_without_notes,oracle_match,output_bytes,patterns,property_count,python_parse_success,scenario,source_agents,source_hash,source_modules,source_nodes,target,tier
0.1.0,13,True,[],42,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,5661,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,microsoft-agent-framework,simple
0.1.0,13,True,[],47,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,5474,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,strands,simple
0.1.0,13,True,[],41,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,3307,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,pydantic-ai,simple
0.1.0,13,True,[],52,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,5439,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,autogen,simple
0.1.0,13,True,[],44,,"{""adapted"": 4, ""dropped"": 1, ""equivalent"": 5, ""exact"": 4}",4,True,5390,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,semantic-kernel,simple
0.1.0,13,True,[],51,,"{""adapted"": 5, ""equivalent"": 5, ""exact"": 3, ""unsupported"": 1}",6,True,4522,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,haystack,simple
0.3.0,16,True,[],47,,"{""adapted"": 7, ""equivalent"": 5, ""exact"": 4}",2,True,3942,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,crewai,intermediate
0.3.0,16,True,[],54,,"{""adapted"": 10, ""exact"": 6}",6,True,2432,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,adk,intermediate
0.1.0,16,True,[],46,,"{""adapted"": 4, ""equivalent"": 6, ""exact"": 6}",4,True,3133,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,langgraph,intermediate
0.1.0,16,True,[],46,,"{""adapted"": 6, ""equivalent"": 6, ""exact"": 4}",6,True,2125,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,openai-agents,intermediate
0.1.0,15,True,[],43,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 5, ""exact"": 5}",5,True,4003,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,microsoft-agent-framework,intermediate
0.1.0,15,True,[],46,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 5, ""exact"": 5}",5,True,3779,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,strands,intermediate
0.1.0,15,True,[],49,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 6, ""exact"": 4}",5,True,1943,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,pydantic-ai,intermediate
0.1.0,15,True,[],44,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 6, ""exact"": 4}",5,True,3227,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,autogen,intermediate
0.1.0,15,True,[],41,,"{""adapted"": 4, ""dropped"": 1, ""equivalent"": 7, ""exact"": 4}",4,True,3127,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,semantic-kernel,intermediate
0.1.0,15,True,[],37,,"{""adapted"": 5, ""equivalent"": 7, ""exact"": 3, ""unsupported"": 1}",6,True,2723,"[""module"", ""parallel"", ""module-to-agent""]",16,True,parallel,3,88a67cb93e5e0c2de94a0df4747da0b7c33a489d029992ea024d86a6f92bab72,1,2,haystack,intermediate
0.3.0,15,True,[],48,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 6, ""exact"": 4}",2,True,3949,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,crewai,intermediate
0.3.0,15,True,[],51,,"{""adapted"": 8, ""dropped"": 1, ""exact"": 7}",4,True,2568,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,adk,intermediate
0.1.0,15,True,[],47,,"{""adapted"": 4, ""equivalent"": 7, ""exact"": 4, ""unmapped"": 1}",4,True,3209,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,langgraph,intermediate
0.1.0,15,True,[],40,,"{""adapted"": 6, ""equivalent"": 7, ""exact"": 2, ""unmapped"": 1}",6,True,2152,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,openai-agents,intermediate
0.1.0,14,True,[],43,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 6, ""exact"": 3, ""unmapped"": 1}",5,True,3908,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,microsoft-agent-framework,intermediate
0.1.0,14,True,[],52,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 6, ""exact"": 3, ""unmapped"": 1}",5,True,3841,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,strands,intermediate
0.1.0,14,True,[],45,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 7, ""exact"": 2, ""unmapped"": 1}",5,True,1938,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,pydantic-ai,intermediate
0.1.0,14,True,[],43,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 7, ""exact"": 2, ""unmapped"": 1}",5,True,3225,"[""module"", ""parallel"", ""aggregation""]",16,True,parallel-aggregator,3,19fad269c674761b13057694851d3e34027c6ef629cd89d4778ba8728fa6b0db,1,1,autogen,intermediate
